src,trg
"Thank you doctor, I went to the store to look for Zantac they did not have it, so I talked to the pharmacy they said sounds like could be some weird chest tightening and the doctor said since Pepcid and Zantac are the same. He said to try Ranitidine.
","Hi, you need to take Pantoprazole or any other proton pump inhibitor. Avoid heavy meals. The issue appears like a heartburn problem due to acidity only. It does not appear sinister.
"
"Thank you doctor, I was trying to finish the bowl of food in one hour. I was eating veggies and rice, halfway through felt something like acid may be some pain in chest and throat. Feeling lightheaded so ate some meat to then coughed after.
","Hi, do not worry about it. Drink plenty of water but not immediately after a meal. Eat well cooked meats.
"
"Thank you doctor, I really appreciate your help so much. I appreciate your time and effort to help me and give advice. Only thing I am worried is just the chest pains, breathing issues and esophagus and throat stuff. I will try to wait two to three hours after eating or drinking before bed now. I hope to get less chest issues when I wake up.
","Hi, do not worry so much. You will be absolutely alright. Give it some time. If you are not getting better we can do laryngoscopy and check if there is anything wrong with the larynx. Do you eat healthy food and do exercises?
"
"Yeah if it doesn't get better Laryngoscopy would be perfect. Okay, I'll give it some time Thank you!
","I guess you are in the right track. With regards to food diet and exercise.
"
"Sounds good! Awesome! Appreciate your time and effort to help, this means a lot. Very patient and kind!
","First few cases were suspected to have spread from food. However human to human spread is mainly from air droplets.I would suggest you to refrain from swimming for sometime. Although the virus will get killed in swimming pool if it doesnot find host for more than few minutes. Other precautions include to avoid social gatherings, wash hands frequently with soap and water, cover face with mask, stay home during sickness, avoid travel.
"
"Hi, I am Chaitanya, 27 years old. I use to swim daily in morning. Does COVID-19 spreads through water ? What precautions should I take to avoid infection?
","Depends on severity. COVID-19 pandemic at this time, so a doctor on video may consult by video instead of requiring an in-person visit. Flu-like symptoms can be from a strep throat infection, a cold or influenza, or from some other cause like COVID-19. Usually, a person calls the doctor if the symptoms are bothersome, serious, recurrent, or persistent. COVID-19 testing depends on local availability.
"
"What is the treatment for Covid-19?
","Real vs. textbook. Real-life criteria is different because we don't have enough tests, supplies, or medical staff around the world at this time (March 2020). Textbook criteria are suspected COVID in hospitalized persons or in those with underlying medical conditions; or persons who got symptoms less than 14 days after (1) contact with a suspect or confirmed COVID patient or (2) travel through high-risk COVID area.
"
"Criteria for COVID test?
","Without any details it's impossible to say.
"
"I have covid 19 symptoms?
","Without any details it's impossible to say.
"
"Do I have covid 19?
","COVID-19 symptoms. Nausea, vomiting, and/or diarrhea occur fairly frequently early in the infection, but are rarely if ever the only symptoms. If cough and fever don't develop within a day or two after vomiting or diarrhea, probably it isn't COVID-19.
"
"Is vomiting and diarrhea a symptom of covid-19?
","Break. At 39 your risk for severe infections is very low. A strategy that I recommend is taking in information daily, but get away from it. Practice prudent precautions. In my off times away from ER (still practicing front line ER) I focus my mind on my cooking, planning my garden, engage with my friends and loved ones and read. 
"
"Anxiety because of the covid 19 news?
","CoV229e is one of several coronaviruses that cause common colds. Biologically related to SARS-CoV-2 (the cause of COVID-19), but different viruses.
"
"Is the coronavirus 229E the same as covid-19?
","Seek care right away if difficulty breathing, other severe symptoms.
"
"Can I get a covid 19 test?
","your local doctor, local health department, we have no idea here what your set up is where you live.
"
"Where can I be tested for covid 19?
","COVID infections will likely pick up over the next few weeks in US. Avoiding travel and following hand washing recommendations are probably the most important prophylactic measures.
"
"Am I at risk for COVID-19 in the United States?
","Symptoms of COVID-19 are usually the same as a cold or the flu, with diarrhea being uncommon.
"
"My dad last week was vomiting and had diarrhea now this week it has turned into runny nose and a cough...no fever....any chance it’s Covid-19?
","The symptom pattern is not specific to one agent.
"
"11 year old has a cough, runny nose, headache,earache, no fever. Is this COVID-19?
","In brief: Unlikely
"
"I am getting headache at night. Been battling with a sore throat and post nasal drip. No fever. Cough only slightly at times. I went for laproscope and removal of my fallopian tubes on 2nd March. All this started after that. Must i test for covid 1o?
","In brief: Respiratory illness
"
"Do people with the Covid coronavirus get any diarrhea? If yes, how bad is the diarrhea, and what portion of infected people start having diarrhea?
","In brief: No
"
"Can Covid-19 be transmitted sexually? Can any coronavirus be transmitted sexually?
","In brief: Sort of
"
"Should I shave my beard to reduce my chances of contracting coronavirus / covid-19?
","In brief: Yes
"
"I have mild asthma which is well controlled if I were to contract Covid 19 would I experience any difficulties as can’t seem to find much information on asthma patients who have had the Coronavirus many thanks ?
","In brief: COVID-19 and Asthma
"
"Is mild intermittent asthma an elevated risk group for Covid 19 complications? If so, should I continue to use my inhalers when it's occasionally necessary or will the steroids in them put me at more risk? Thank you.
","Being over 50 with a medical condition like intermittent asthma makes you at higher risk for any respiratory illness including COVID19.
"
"I read that people taking steroids for asthma are at higher risk for poor outcomes from COVID19. Does this include inhalers containing steroids? Also, is mild intermittent asthma a risk for poor outcomes or only more severe forms of asthma? Thanks
","People with chronic lung problems do worse in a lung disease outbreak.
"
"What symptoms would make you think I do not have COVID-19. I have a bad cold, but got diarrhea twice, so does diarrhea mean it is not COVID?
","Diarrhea does not rule out COVID.
"
"Can Covid-19 be transmitted sexually? Can any coronavirus be transmitted sexually?
","If you are having sex with someone who has Covid-19 you are quite at risk of getting it.
"
"Have read COVID-19 news quoting some experts as saying that we will see more confirmed cases as more tests are performed, but the mortality rate should drop as that happens. Any sign of that yet?
","Don't confuse actual mortality rate with REPORTED rate.
"
"I travelled to Austria on 25 Jan 2020 and returned on 31Jan 2020. My trip included a stopover in Munich. I currently do not show any symptoms listed for coronavirus. Should i get lab tested as a precaution and will this test be covered by the medical?
","The questions you pose are more appropriate to ask your local physicians and health plans.
"
"For students in dorms living with students from many countries, what extra additional precautions do they need to prevent catching novel coronavirus?
","COVID-19 is now official name for the illness caused by the newly discovered coronavirus (COronaVirus Infectious Disease - 2019).
"
"Can taking extra vitamin C every day help prevent you from catching the coronavirus or the flu? If so, how much vitamin C is recommended?
","While getting enough vitamin C in your diet is highly recommended, it has no special ability to prevent coronavirus or flu virus.
"
"Can taking extra steps for self-care (like staying hydrated, getting more sleep) every day help prevent you from catching the coronavirus or the flu?
","It helps to keep the body in good shape and good nutrition.
"
"Last tuesday I had a flu shot and a neumonia shot. I am 68 and male. I had a very sore arm and felt bad the next day in which I had blood drawn for a test. The results showed a high white cell blood count as well as high ANC and AMC. Could these high readings be because of the shots the day before?
","The pneumonia shot per se is not responsible for high WBC count, but as you are telling there are soreness and bad feeling at the injection site over arm, there are all possibilities that you have cellulitis or possible abscess formation at the injection site; which will recruit neutrophils at the site and cause secondary rise in WBC count.
"
"My father recently passed over the weekend. His body was fighting an infection along with pneumonia for 1 week. During that time, he would urinate bloody urine into the foley. The doctors said that was completely normal. It was very dark red. Is that normal?
","The pneumonia does not give rise to red urine called hematuria. There can be possible causes for red blood cells in the urine as uncontrolled urinary tract infection, kidney damage via systemic sepsis, abnormal clotting factors or platelet function, side effects of drugs, dehydration related issues.
"
"I have pneumonia and my doctor has me on strong antibodics and albut in my nebulizer. Yesterday after a treatment I spit up fresh blood and I have this second day also. I m on blood thinners and wonder if that may be my problem. I feel better in other ways.
","HelloAs you explain the situation yes it might be that in pneumonia to have blood with the cough and especially if you take blood thinners do not worry.However of it last for several days than better to talk with your treating doctor for this for safety.RegardsDr.Jolanda
"
"Hi, my name is XXXX. My grandfather is suffering from pneumonia right now and refuses to go to the doctor because of the price needed to obtain a patented medicine. In Indonesia, it is not hard to find these kinds of doctors that don t want to help people in need. What medicine can you guys recommend for a home treatment?
","As you explain the situation, unfortunately, there is no home treatment for pneumonia. I strongly recommend you to go to the hospital as an emergency which is free mostly.
"
"I was diagnosed with pneumonia on june 30. I finished taking my antibiotics and cough pills. I still continue to cough sometimes gaging. Shortness of breath and wheezing, I have an inhaler, I am not coughing up anymore phlem. my doctor says to take Mucinex DM. I have finished a bottle. I also have taken robitussin cough medicine. She also sd cough cld last up to 4-6 weeks.
","These symptoms last for 3-4 weeks. So no need to worry if fever is not there. Hope I have answered your query. Let me know if I can assist you further.
"
"Hi my husband has been diagnosed with pneumonia and given roxithromycin, he s had a heart transplant 4 yrs ago he is very tired hardly eating or drinking pretty larthargic to be honest should I be taking him to hospital we are now on day 3 on the antibiotics with no improvement what would you suggest?
","Hi, Yes, you should definitely take him to the hospital, seeing that he is especially vulnerable as a heart transplant recipient. 
"
"I ve been diagnosed with pneumonia (I am 63) on Monday evening. My daughter (31) is exhibiting the same symptoms - went to her doctor and currently taking Z-Pak. I was prescribed azithromysin 500 mg for 5 days. I was concerned since we were experiencing the same symptoms. We spend time together but she is married and lives in town. I am married and my husband is not experiencing any symptoms. Totally confused. Is there a way to know if you have a viral or bacterial pneumonia. I have had all kinds of different blood work done, chest x-ray, - can they tell? How long is pneumonia contagious? She has 2 children and we re trying to figure out if it s okay to have someone else watch the kids. They are not sick at this time.
","Usually, he is contagious one week before treatment and until three days after treatment. Please go through emergency help if condition gets worse. 
"
"18 month old with chronic running nose And cough since August 2014 diagnosed with bacterial infections Took antibiotics did not get better. January 26th and chest x-ray found pneumonia. Took antibiotics did not get better with runny nose and coughing. 10 weeks later another chest x ray still found pneumonia. Has been taking clindamyacin For 11 days now does not seem to be getting better. And just now been prescribed proventil and Qvar. But if she is suffering from bacterial infection with those inhalers make it worse
","Doctors will need a chest CT to evaluate better the situation. Please go through emergency help if condition gets worse. 
"
"My 19 year old son was diagnosed with pneumonia 5 months ago and was given antibiotics but with minimal results. Unfortunately he still suffers from the same symptoms but since he is in the military he refuses to go back to the doctor for fear of reprisal. His cough is still deep and his energy is low. Are there any long term repercussions for his lungs if he continues without treatment.
","As you explain the situation I strongly recommend you to send him to the doctor for a re-evaluation of the situation.
"
"I was diagnosed with pneumonia 9 days ago. I had been sick a week before that. i get better, then it seems to come back. Now I have a runny nose (which i didn t have before) and I still have a tickle. 1 day good, 1 day bad, 1 day good. etc. Why the runny nose? what does the tickle signify? I am a singer. Got get well by Sat. this is tues.
","You don't have to worry. You are in the phase of improvement just so correctly the treatment.
"
"My son has been diagnosed with pneumonia, and started a five day treatment today. He is 11 years old and very lean almost under weight. He hasn t been eating well this week and coughing is pristant as of today. I believe he should not go on the ice. He does play hard. can I get your opinion?
","To provide you a correct opinion I should see his chest X-ray and blood tests.
"
"My mom had pneumonia, bronchitis, the flu and a fungal infection in her lungs. when I brought her to a local hospital she was intubated and had to be ambulance two hours away to a hospital that had a bed for patients on a ventilator. she was on a ventilator for three days and they discovered the fungal infection at the hospital. she was there for a total of 15 days. when I brought her home she was given a home health physical therapist, Home Health occupational therapist, home health nurse to help me take care of her she is still having quite an issue with breathing she can do only so much and gets out of breath, does anyone have any ideals or respiratory Rehabilitation or any help they can offer so that my mom can breathe easier to be able to walk and do what she did prior to this illness thank you so very much.
","I have reviewed your query and here is my advice. Spirometry exercise would be better for her and anti-fungal treatment should be done with other bronchodilator medication and supportive Rx.
"
"I HAD SUFFERED WITH HARPEZ AND PNEUMONIA. I HAD TAKEN ZOVIRAX INTRAVENOUS DEPOMEDROL,TRICOT XYLOCAINE AND FINALLY SEFTUM 500 MG. THE ERUPTIONS AND IRRITABLE SKIN IN GROIN AND ARM PITS. MY FACE LOOKED I WAS OLDER THAN MY AGE. ONE DAY OUT OF A MIRACLE I HAD FORMULATED MY OWN DRUG WHICH HAS SAVED ME. THE DRUG IS POWDERED AMMOXYCILIN 500mg, SEFTUM500mg, ALTHROCIN 500 mg, CIFRAN 500mgIN RIGHT PROPORTIONS. I APPLIED TO MY GROIN, FACE, ARMPITS. ALSO LIKE HOMEOPATHY I TRIED TAKING ONE MILLIGRAM OF THIS MIXTURE RUBBED ON EPIGLOTTIS. MY LIFE STYLE HAS CHANGED COMPLETELY AND WOULD LIKE TO RECOMMEND TO THIS ENTIRE WORLD THAT THIS IS A MIRACLE DRUG THAT CAN KEEP IN ABEYANCE MANY DISEASES OF THE WORLD. NO SIDE EFFECTS. EXCELLENT HEALTH, LOOKING 30 YEARS YOUNGER WITH NO DAMAGE TO SKIN AND ANY SIDE EFFECTS, B.SHANKAR SHARMA, MAIL ADDRESS YYYY@YYYY
","You should absolutely believe in your treating doctor and follow his instructions.
"
"Hi, I m a 55 yr old white female, 5`4 , 180 lbs. I had childhood asthma and bronchitis, and were given steroids frequently. I seemed to grow out of it at age 17. During the last 14 yrs I ve developed Fibromyalgia/Chronic Fatigue, RA, for 14 months my SED rate stayed at 53-108 and they could not find out why, Cushing s Syndrome, neuropathy of the feet, and most importantly - Hypogammagobulinemia. I rec d IGG iv s monthly for 4 yrs, then lost insurance 6 yrs. ago. I m disabled and on Medicare, I haven t rec d IV s in 6 yrs. During that time I ve had pneumonia 17 times, once was septic pneumonia, constant sinus problems, PCP infection and a rare form of arthritis associated with the hypo (the Dr. couldn t tell me the name of it). I have contacted Medicare, foundations and pharm companies trying to get help to start treatment again. Reaching out to any possible help has been met with apathy and no one would try to point me in the right direction. I m really worried and would like to know my chances of surviving if I can t get the IGG treatments. Thank you very much for your time.
","The cause of chronic pneumonia is mandatory to be evaluated here with culture of bronchial lavage fluid, CT scan of the thorax and other supportive evaluations. Unless the root cause is identified, one cannot get the complete management chart.
"
"The reading of my chest x-ray states that there are hazed and confluent densities seen in the left upper lung field. The rest of the lungs are clear. The heart is not enlarged. The rest of the included structures are unremarkable. I am very much worried because the impression states that I have MINIMAL PTB, LEFT WITH PNEUMONIA. Please advice me on what to do best as I fear this might affect my application for renewal of contract.
","Hello, For Tuberculosis, AKT needs to be started. So confirm tuberculosis by sputum AFB stain and culture. If tuberculosis confirmed, then AKT should be started. And it is to be taken for around six months. Provide reports if available. Hope I have answered your query. Let me know if I can assist you further. Regards,Dr. Parth Goswami
"
"my mother has CRE/resistant klebsiella pnuemoneae(excuse the spelling) She is allergic to most antibiotics,sulfa, & penicillin. She has been treated five times obviouly they haven t worked in full! She easily goes anaphylactic! mid way through treatments. Last trtmt. was 7 days ago. 1st day , IV Ertapenem 1mg and litocane, prior to trtmt. she premeds w/ 50 mgs oral benedryl,1 hour cooktime prior ttrtmt.there was to be an additional 9 doses IM and on 6th dose went into shock. She is being readmitted in a.m. for another attempt she is trying oral doses of colodial silver. HELP WHAT TO DO? hOW LONG CAN THIS GO ON BEFORE SHE DIES? wHAT ARE THE SYMPTOMS OF DEATH DUR TO cre?
","In such conditions we recommend another class of antibiotics but in the survey of the allergologist who should monitor closely the patient's situation. 
"
"I was given amoxycillin for a chest infection and did not improve after 48 hours, therefore I went back to the GP who then gave me Clarythmomycin as it resulted in pneumonia. I have been off work for 3 weeks now and feel completely washed out and exhausted. I had a chest x-ray which was clear, but was given an inhaler temporarily as I was out of breath and wheezy. I still have an incredible amount of phlegm which has now changed from brown to sometimes green to clear. Unfortunately, for last 3 days, my trachea is extremely bruised to touch and feel as if someone is pressing my windpipe. Although my tonsils aren t swollen, my ear hurts deep inside. I have had to start taking paracetamol again this week as feel weak, wobbly and feel as if I am going backwards again instead of improving. I am 45 years old. Non-smoker.This is the 3rd time I have had pneumonia in 18 years. I am reasonably fit and healthy, and I don t suffer from colds normally, but whenever I come down with something, I seem to suffer with it. How long does it take to get back to normal? Are the trachea symptoms part of the initial pneumonia symptoms or would I need to see the GP again. I am feeling extremely fed up of generally feeling unwell. I am taking a tonic (Metatone) and drinking and eating healthily. Basically, is it normal to feel this unwell for so long.
","Yes, it might be that after the pneumonia the recovery time lasts up to one week however I recommend you to do a chest CT to see if the pneumonia has gone completely.
"
"I was diagnosed with pneumonia and pleurisy Friday 6/22/18.  Dr gave me Azithromiacin and 800mg of ibuprofen .  That was 4 days ago.  Azithromiacin has one pill left, and i no longer take the ibuprofen as not needed.  To date, I take Sudafed PE and Robitussin DM with expectorant & suppressant.  Every 4 hours when the meds wear off, my fever returns with body aches, chills, headache, and coughing. I continually cough up flem, and when lying down need to clear my throat every 30 seconds. I'm also bloated and get air bubbles under my ribs that are painful.
","As far as my clinical experience is concerned, the intensity of the symptoms are not under control with oral antibiotics. In our clinic, I recommend the patient to get hospital admission, start intravenous antibiotics, broncho dilators and other supportive measures to control the same. Do give me further chance to assist in future.
"
"I ve had symptoms of cough, headache, stuffy nose, fatigue, and sore throat for 4 days. I know these are typical of common cold. However, once before (18 months ago), when I just tried to ride it out, I developed pneumonia and was in hospital for several days. Are there any precautions I can take now to prevent this from getting complicated? Thanks.
","Yes, you are right. If you don't pay attention in common cold, it can complicate as pneumonia. So follow these steps for better symptomatic relief in common cold. Drink plenty of fluids orally and keep yourself hydrated. Do warm water gargles and steam inhalation 4-5 times a day. Avoid cold foods like ice cream, cold drinks etc. Take treatment for common cold regularly. Watch for persistent fever, chest pain, Yellowish green expectoration, breathing difficulty etc. If any of these symptom appears then immediately get done chest x ray. Avoid smoking and alcohol if you have these habits.
"
"My sister, age 72, and living alone drove herself to an emergency room at 4:00 a.m. with temperature of 101+, chills and a little dizziness. They diagnosed her with pneumonia. She has COPD and uses inhalers and oral meds. I am concerned because she just told me she is extremely tired and has been under a lot of stress due to move from home of 45+ years, family concerns and loss of husband 2 years ago. She had hip replacement three months ago. I live an hour and a half away and am wondering if I should drive to her city and check on her. She does have a son and a neighbor friend looking in on her.
","She is already suffering from COPD (chronic obstructive Pulmonary disease). And pneumonia can be severe in already compromised lungs. So pneumonia in COPD patients should be treated promptly. And hence she needs hospital admission, Intravenous antibiotics, anti pyretic, Intravenous fluids and other supportive drugs. So better to admit her and start appropriate treatment.
"
"What is a right central pneumonia? My diagnostic x-ray report states there are hazy densities in the right perihilar and paracardiac areas; trachea is midline; cardiac sillhouette is not enlarged; hemidiaphragms, costophrenic, sulci and bony thoracic cage are unremarkable. I don t understand it.
","According to the chest X-ray results, this is an infection of the lung tissue. Don't worry. In this case, antibiotics are given. Consult your doctor. Regards.
"
"Hi, My uncle has been diagnosed with liver cancer and he is in the last stage. After the first chemotherapy he has been admitted to hospital due to pneumonia. Is he again diagnosed with lung cancer? And what are the chances of getting cure? What treatment you would like us to get it done.
","Though this question requires all reports as scanned copy to be evaluated, with provided data I can suggest that any of the treatment would be supportive only for advanced case of liver cancer, it is not going to be curative.
"
"I have been on methadone for approx. 5 years now at a dose of 30mg taken 4 times daily. This has not only stopped any unpleasant withdrawl symptoms but has also offered considerable relief in easing chronic pain from a severe back injury 11 years ago. For the first 3 years of taking the medication I found that while it was effective in these areas their was an exceptional side effect in that it absolutely obliterated any interest in sex or even the ability to physically have sex. Also I found that I had next to no energy, making many things I used to enjoy fall by the wayside which in turn led to severe depression. After extensive talks with my Doctor I was sent for blood analysis and it was found that my level of testosterone was so low it barely registered. I was then put on a 3 week cycle of injections of 2mls of Delatestryl and for the past several years I have been the person that I used to be (it gave me my life back). Know I have been given a new Doctor at the clinic I attend and he has informed me that he is only there to prescribe methadone and will not be responsible for any other prescriptions. I do not have a family doctor and our emerg has said that this falls outside their domain. The walk in clinic treats every individual that I know so badly that their is no doubt in my mind that they will refuse to continue this presciption. (to give you some perspective on our walk in clinic - I went their several mnths back with sever pneumonia and the Doctor looked at my chart once and told me that I would get know %$# narcotics from him and to leave immediately) Any suggestions on how to get across to my knew methadone Doctor (who has only been in prescribing methadone for 2 months) just how much this would severely negatively impact my life?
","The pneumonia management depends upon the symptoms which are not narrated here precisely. The Methadone is known to cause long terms side effects over liver, kidney and other body systems, which should be discussed with the treating physician.
"
"My daughter is 11 years old she has has pneumonia she has been sick since January 3rd symptoms keep changing. she is up at night itching all over her upper torso, head, and ears. She has major headache and abdominal pain.. she is very upset and crying because this is going on way to long and she has seen many doctors with no relief any suggestions. Tried most itching products what could be causing the head pain and stomach pain. they check her today for appendicitis
","According to the history it might be a viral situation or an allergy. Don't worry so much she is under medical control.
"
"I was given a steroid shot at 10am this morning when it was discovered that I have potential pneumonia. I was also proscribed an inhaler and a strong antibiotic, both of which I am now actively taking as directed. The Dr offered a cough syrup with codeine for assistance with sleeping through the symptoms that have been interfering with my ability to sleep, which I declined due to being someone who never takes medications at all and fear of having so much in my system at once. The Dr. clarified that Nyquil would be just fine if needed and if I m more comfortable with. I m having some anticipated potential insomnia from the steroid, and some heart palpitations, and I have an irregular heart palpitations to begin with. I feel inclined to take the Nyquil to ensure I get desperately needed sleep, but am concerned with all that is on board, etc. Definitive guidance would be so greatly appreciated, thank you in advance!
","Hello and Welcome to ‘Ask A Doctor’ service. 
"
"My 62 year old sister is currently hospitalized for pneumonia that was dx after foot surgery related to a fall. She had Breast CA 8 years ago. Currently taking Tamoxifin. BRCA II gene. 3 sisters also with gene mutation and hx of breast CA. Youngest sister passed away from recurrance of Breast CA. (Mets to lungs, liver and bones.) Hospital ruled out blood clot in lung. Dx with pneumonia. Should CT scan be done since she has has a long standing cough and multiple bouts of pneumonia.
","Yes, she can safely do the chest CT. There is not any contraindication of doing it in pneumonia.
"
"Hello, I have had a chest infection about once a quarter for the last year and a half . I was diagnosed with asthma not long ago as well as having developed pneumonia for the first time in the past week. What could be causing such frequent illness? I have generally been a healthy person for all of my life. Sick maybe once every four years.
","Recurrent chest infections in asthma patients can cause bronchitis. So better to consult pulmonologist and get done clinical examination of respiratory system and PFT (Pulmonary Function Test). PFT will not only diagnose bronchitis but it will also tell you about severity of the disease and treatment is based on severity only. You will mostly improve with inhaled bronchodilators (Formoterol or Salmeterol) and inhaled corticosteroid (ICS) (Budesonide or Fluticasone). Don't worry, you will be alright with all these. Hope I have solved your query. I will be happy to help you further. 
"
"How many tablets of Levofloxoacin would it take for a older person who is be told he is just coming down with pneumoria (he already has taken 4 pills & I am to give him another at 4 oclock, the reason I am asking this question is he had a fall & broke his hip but seem to have confusion & I had the doctor give him medicine for the confusion, but can not start it until he finish 6 more pill, thank you for any help you can give me.
","Levofloxacin is generally advised once a day. It's very effective for pneumonia. The dose is generally to be taken once a day for arrest 10 days. This can be up to 14 days for some. patients.so yes give him one tablet daily for 6 more days.this hopefully would be enough for his pneumonia. Hope I have answered your query. Let me know if I can assist you further.
"
"My son is 4 years old. At the age of six months he suffered from pneumonia.since then he has problem of coughing at the interval of 1 to 2 month. The doctor provided bactoclav and beta2 cough syrup till he became 2 years old. But there is no any improvement so the doctor refered budecort 200mcg/dose 2 puff at a time twice a day n also a nasal spray beclometason dipropionate bp 50 micro gram. But still the case is not improve. The frequency of coughing starts almost every months. Please suggest me what could I do now?
","Hello As you explain the history it might be a gastric reflux present that has caused the pneumonia. Discuss with his doctor. Regards Dr.Jolanda
"
"hi gud day doc.i had this right paracardiac pneumonia last nov.27 2013..and i undergone treatment for 2 weeks... after that.im not able to comeback in the hospital for further check up...about my illness....but every now and then im suffering backpain and chestpain...but i also had an asthmatic condition...how can you help me ...
","In my opinion, you should definitely consult pulmonologist for this pain. You will need a chest X-ray and PFT (Pulmonary Function Test). A chest X-ray is needed to rule out recurrence of pneumonia because this can also cause similar kind of pain. PFT is needed to know the severity of asthma. You may need inhaled bronchodilators (Formoterol or Salmeterol) and inhaled corticosteroids (ICS) (Budesonide or Fluticasone). Don't worry, you will be alright with all these. Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks.
"
"I am recovering from pnuemonia. I was thinking that that I tore a muscle coughing but now I am beginning to wonder. On the right side of my chest, under my breast it hurts when I cough. It hurts when I press on it, but when I pinchthe muscles with my fingers I have no tenderness. It hurts as i go to touch my toes. Could I be having a problem with an organ under my ribs ? I have no pain on my left side.
","Pneumonia can cause pleurisy (inflammation of pleura) and this can cause similar kind of pain. So in my opinion, you should first get the chest X-ray done. If the chest X-ray is worsening, then your pain is due to pneumonia and you will need higher antibiotics. But if the chest X-ray is improving, then possibility of musculoskeletal pain is more likely. So apply warm water pad on the affected areas. Avoid movements causing pain. Avoid sudden jerky movements of the chest. Take simple painkillers and muscle relaxant drugs like Ibuprofen and Thiocolchicoside. Don't worry, you will be alright with all these. Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks.
"
"Dear Sir, good evening, my mother is aged about 58 years and is patient of acute diabetic since last 30 years, she is now in ventillation due to pneumonia in lungs and spreading of infection speticemia all over the body and she is having becoly too. It is almost 14 days on ventilation but there is no progressive result of her ailment. she is surviving on artificial lungs. E.C.G. - SR Respiratory - 28 Oxygen - 84 B. P. - 118/70 Heartbeat - 96 Pulse - 96 Sugar - 130 mg/dl Lungs Pressure - 39 Other organs of the body are working properly and are good in condition till now. What should I do?. What specific treatment should be given to her?. Please help me in this regard. I am in very much need of your help?. Raashid Mustafa, Ranchi, Jharkhand. Mother Name - Shahin Mustafa - 58 years Admitted - Abdur Razzaque Ansari Weavers Hospital fernchizee of Apollo Group of Hospitals. MICU - BED NO - 07
","Hello and Welcome to ‘Ask A Doctor’ service.I have reviewed your query and here is my advice.If your mother is on a ventilator due to pneumonia, then 1. ET tube sputum for culture and sensitivity 2. Higher antibiotics 3. Monitoring of BP and O2 4. She will improve when best intensivist will see this case  Hope I have answered your query. Let me know if I can assist you further.Regards, Dr. Chandra Shekhar
"
